player_id,player_name,stat,weight,raw_season_avg,weighted_contribution
12999,Massimo D'Ambrosio,Hit-outs to advantage / game,0.05,0.0,0.0
12999,Massimo D'Ambrosio,Clangers / game (penalty),-0.06,1.8182,-0.1091
12245,Jarman Impey,Disposals / game,0.22,19.0435,4.1896
12245,Jarman Impey,Goals / game,0.18,0.087,0.0157
12245,Jarman Impey,Score involvements / game,0.11,3.1739,0.3491
12245,Jarman Impey,Metres gained / 100 per game,0.06,3.4387,0.2063
12245,Jarman Impey,Tackles / game,0.07,2.3913,0.1674
12245,Jarman Impey,Contested marks / game,0.09,0.2609,0.0235
12245,Jarman Impey,Intercepts / game,0.09,5.5217,0.497
12245,Jarman Impey,Clearances / game,0.11,0.8696,0.0957
12245,Jarman Impey,Hit-outs / game,0.03,0.0,0.0
12245,Jarman Impey,Hit-outs to advantage / game,0.05,0.0,0.0
12245,Jarman Impey,Clangers / game (penalty),-0.06,2.2609,-0.1357
12954,Josh Ward,Disposals / game,0.22,14.3,3.146
12954,Josh Ward,Goals / game,0.18,0.1,0.018
12954,Josh Ward,Score involvements / game,0.11,4.6,0.506
12954,Josh Ward,Metres gained / 100 per game,0.06,2.412,0.1447
12954,Josh Ward,Tackles / game,0.07,1.8,0.126
12954,Josh Ward,Contested marks / game,0.09,0.0,0.0
12954,Josh Ward,Intercepts / game,0.09,1.2,0.108
12954,Josh Ward,Clearances / game,0.11,1.3,0.143
12954,Josh Ward,Hit-outs / game,0.03,0.0,0.0
12954,Josh Ward,Hit-outs to advantage / game,0.05,0.0,0.0
12954,Josh Ward,Clangers / game (penalty),-0.06,1.9,-0.114
12365,Karl Amon,Disposals / game,0.22,22.1304,4.8687
12365,Karl Amon,Goals / game,0.18,0.1739,0.0313
12365,Karl Amon,Score involvements / game,0.11,4.3043,0.4735
12365,Karl Amon,Metres gained / 100 per game,0.06,5.3809,0.3229
12365,Karl Amon,Tackles / game,0.07,1.8696,0.1309
12365,Karl Amon,Contested marks / game,0.09,0.0435,0.0039
12365,Karl Amon,Intercepts / game,0.09,3.2174,0.2896
12365,Karl Amon,Clearances / game,0.11,1.087,0.1196
12365,Karl Amon,Hit-outs / game,0.03,0.0,0.0
12365,Karl Amon,Hit-outs to advantage / game,0.05,0.0,0.0
12365,Karl Amon,Clangers / game (penalty),-0.06,1.913,-0.1148
12491,Mabior Chol,Disposals / game,0.22,9.5714,2.1057
12491,Mabior Chol,Goals / game,0.18,1.7143,0.3086
12491,Mabior Chol,Score involvements / game,0.11,5.1905,0.571
12491,Mabior Chol,Metres gained / 100 per game,0.06,1.971,0.1183
12491,Mabior Chol,Tackles / game,0.07,2.8095,0.1967
12491,Mabior Chol,Contested marks / game,0.09,0.9048,0.0814
12491,Mabior Chol,Intercepts / game,0.09,0.8095,0.0729
12491,Mabior Chol,Clearances / game,0.11,0.6667,0.0733
12491,Mabior Chol,Hit-outs / game,0.03,1.8095,0.0543
12491,Mabior Chol,Hit-outs to advantage / game,0.05,0.4762,0.0238
12491,Mabior Chol,Clangers / game (penalty),-0.06,3.1905,-0.1914
13055,Seamus Mitchell,Disposals / game,0.22,8.6,1.892
13055,Seamus Mitchell,Goals / game,0.18,0.0,0.0
13055,Seamus Mitchell,Score involvements / game,0.11,0.8,0.088
13055,Seamus Mitchell,Metres gained / 100 per game,0.06,1.171,0.0703
13055,Seamus Mitchell,Tackles / game,0.07,1.8,0.126
13055,Seamus Mitchell,Contested marks / game,0.09,0.5,0.045
13055,Seamus Mitchell,Intercepts / game,0.09,2.8,0.252
13055,Seamus Mitchell,Clearances / game,0.11,0.2,0.022
13055,Seamus Mitchell,Hit-outs / game,0.03,0.0,0.0
13055,Seamus Mitchell,Hit-outs to advantage / game,0.05,0.0,0.0
13055,Seamus Mitchell,Clangers / game (penalty),-0.06,2.4,-0.144
12342,James Sicily,Disposals / game,0.22,21.55,4.741
12342,James Sicily,Goals / game,0.18,0.4,0.072
12342,James Sicily,Score involvements / game,0.11,4.2,0.462
12342,James Sicily,Metres gained / 100 per game,0.06,4.6945,0.2817
12342,James Sicily,Tackles / game,0.07,1.25,0.0875
12342,James Sicily,Contested marks / game,0.09,0.85,0.0765
12342,James Sicily,Intercepts / game,0.09,7.15,0.6435
12342,James Sicily,Clearances / game,0.11,0.35,0.0385
12342,James Sicily,Hit-outs / game,0.03,0.0,0.0
12342,James Sicily,Hit-outs to advantage / game,0.05,0.0,0.0
12342,James Sicily,Clangers / game (penalty),-0.06,3.05,-0.183
13103,Nick Watson,Disposals / game,0.22,10.9375,2.4062
13103,Nick Watson,Goals / game,0.18,1.125,0.2025
13103,Nick Watson,Score involvements / game,0.11,5.5625,0.6119
13103,Nick Watson,Metres gained / 100 per game,0.06,1.9194,0.1152
13103,Nick Watson,Tackles / game,0.07,2.5,0.175
13103,Nick Watson,Contested marks / game,0.09,0.1875,0.0169
13103,Nick Watson,Intercepts / game,0.09,1.0,0.09
13103,Nick Watson,Clearances / game,0.11,0.75,0.0825
13103,Nick Watson,Hit-outs / game,0.03,0.0,0.0
13103,Nick Watson,Hit-outs to advantage / game,0.05,0.0,0.0
13103,Nick Watson,Clangers / game (penalty),-0.06,1.3125,-0.0788
12477,Blake Hardwick,Disposals / game,0.22,14.6522,3.2235
12477,Blake Hardwick,Goals / game,0.18,0.5652,0.1017
12477,Blake Hardwick,Score involvements / game,0.11,2.9565,0.3252
12477,Blake Hardwick,Metres gained / 100 per game,0.06,2.3017,0.1381
12477,Blake Hardwick,Tackles / game,0.07,2.5217,0.1765
12477,Blake Hardwick,Contested marks / game,0.09,0.4348,0.0391
12477,Blake Hardwick,Intercepts / game,0.09,4.0435,0.3639
12477,Blake Hardwick,Clearances / game,0.11,0.3043,0.0335
12477,Blake Hardwick,Hit-outs / game,0.03,0.0,0.0
12477,Blake Hardwick,Hit-outs to advantage / game,0.05,0.0,0.0
12477,Blake Hardwick,Clangers / game (penalty),-0.06,1.913,-0.1148
12643,Mitch Lewis,Disposals / game,0.22,8.0,1.76
12643,Mitch Lewis,Goals / game,0.18,1.25,0.225
12643,Mitch Lewis,Score involvements / game,0.11,3.25,0.3575
